Team,Opponent Team,Date,Site,Incident,Time,VAR used,Decision
River,San Lorenzo,2024-06-11,Nuevo Gasómetro,posición adelantada en el gol,44',No,Penal
River,Racing,2024-08-22,Libertadores de América,mano en el área tras un centro,62',Yes,Penal
Huracán,Lanús,2025-05-22,Libertadores de América,simulación de falta,3',Yes,Penal
River,San Lorenzo,2023-12-14,Cilindro,entrada fuerte desde atrás,56',No,Penal
Racing,Huracán,2024-01-26,La Bombonera,entrada fuerte desde atrás,15',No,Offside
San Lorenzo,Racing,2025-04-01,Nuevo Gasómetro,mano en el área tras un centro,85',No,No penal
San Lorenzo,Vélez,2023-07-12,Nuevo Gasómetro,posición adelantada en el gol,16',No,Gol válido
Independiente,Lanús,2023-12-21,Nuevo Gasómetro,gol legítimo,9',No,Offside
River,Independiente,2023-11-16,Nuevo Gasómetro,posición adelantada en el gol,62',Yes,Offside
Boca,Lanús,2024-10-26,Monumental,entrada fuerte desde atrás,85',Yes,No penal
San Lorenzo,River,2024-01-02,La Bombonera,posición adelantada en el gol,83',No,Offside
Vélez,Lanús,2025-05-19,Libertadores de América,simulación de falta,88',No,Roja
Independiente,Boca,2024-11-09,Nuevo Gasómetro,remate desviado tras rebote,86',No,Gol válido
River,Lanús,2025-05-23,La Bombonera,gol legítimo,65',Yes,Gol anulado
River,Lanús,2025-05-05,La Bombonera,posición adelantada en el gol,7',Yes,No penal
Boca,Vélez,2024-10-20,Cilindro,gol legítimo,68',Yes,Gol válido
River,Vélez,2023-12-05,Cilindro,empujón dentro del área,64',No,No penal
Boca,Vélez,2024-08-20,Monumental,mano en el área tras un centro,5',Yes,Amarilla
Vélez,Huracán,2024-09-23,La Bombonera,remate desviado tras rebote,54',No,Offside
Huracán,River,2025-02-20,Cilindro,remate desviado tras rebote,30',Yes,Offside
Boca,Lanús,2024-02-01,La Bombonera,gol legítimo,29',Yes,Gol válido
Lanús,Independiente,2024-02-12,Libertadores de América,mano en el área tras un centro,5',No,Gol anulado
Racing,Vélez,2023-07-21,Monumental,simulación de falta,27',Yes,Offside
Lanús,Huracán,2023-12-23,La Bombonera,gol legítimo,29',Yes,Roja
Boca,Independiente,2024-04-26,Monumental,gol con la mano,82',Yes,Gol anulado
San Lorenzo,Boca,2023-07-18,Nuevo Gasómetro,entrada fuerte desde atrás,40',No,Gol anulado
Racing,River,2025-03-11,Libertadores de América,gol legítimo,53',No,Roja
Independiente,Vélez,2023-11-07,Monumental,gol con la mano,85',Yes,Offside
River,Lanús,2024-06-16,La Bombonera,remate desviado tras rebote,5',Yes,Gol anulado
San Lorenzo,River,2024-11-20,La Bombonera,mano en el área tras un centro,85',Yes,Gol válido
River,Lanús,2024-04-16,Cilindro,codazo en salto,2',Yes,Offside
River,Independiente,2024-06-11,Monumental,entrada fuerte desde atrás,33',Yes,Gol válido
Boca,Vélez,2024-02-23,Nuevo Gasómetro,codazo en salto,30',Yes,Roja
Vélez,Huracán,2025-04-06,Libertadores de América,simulación de falta,21',Yes,No penal
Racing,San Lorenzo,2023-12-03,La Bombonera,codazo en salto,77',No,Gol válido
River,Racing,2025-05-28,Libertadores de América,simulación de falta,84',No,Roja
Vélez,River,2023-07-06,Cilindro,posición adelantada en el gol,64',No,Offside
Lanús,River,2024-06-06,Monumental,mano en el área tras un centro,28',Yes,Gol anulado
Lanús,Independiente,2025-03-01,Cilindro,empujón dentro del área,68',Yes,Roja
Vélez,Huracán,2024-09-04,Libertadores de América,codazo en salto,17',Yes,Gol anulado
Boca,Huracán,2023-10-06,La Bombonera,gol legítimo,64',No,No penal
Vélez,River,2023-10-26,Monumental,contacto leve en el área,48',Yes,No penal
Huracán,Independiente,2025-03-01,Libertadores de América,gol con la mano,44',No,Gol válido
Boca,Huracán,2024-02-20,Monumental,contacto leve en el área,53',No,Offside
Racing,Vélez,2023-11-16,Libertadores de América,gol con la mano,11',Yes,Roja
Boca,River,2023-10-08,Nuevo Gasómetro,gol con la mano,22',No,Amarilla
Boca,Lanús,2024-03-28,Cilindro,gol legítimo,38',Yes,Offside
Independiente,Racing,2024-09-28,La Bombonera,entrada fuerte desde atrás,66',Yes,Penal
Independiente,San Lorenzo,2024-06-03,Libertadores de América,simulación de falta,38',No,Offside
Independiente,Lanús,2024-10-06,Cilindro,gol legítimo,62',Yes,Amarilla
River,Boca,2023-06-20,Cilindro,codazo en salto,47',Yes,Penal
San Lorenzo,Racing,2024-05-07,La Bombonera,codazo en salto,29',No,Offside
Boca,Vélez,2024-11-02,Cilindro,posición adelantada en el gol,89',Yes,Gol válido
River,San Lorenzo,2023-12-01,Libertadores de América,remate desviado tras rebote,56',No,Penal
San Lorenzo,Racing,2024-05-21,Cilindro,empujón dentro del área,33',No,Gol anulado
Racing,Independiente,2024-12-06,Cilindro,gol con la mano,62',Yes,Gol anulado
Lanús,Racing,2025-04-01,Monumental,codazo en salto,37',No,Roja
Vélez,San Lorenzo,2024-01-14,Nuevo Gasómetro,gol con la mano,62',No,Roja
Huracán,River,2025-04-09,Nuevo Gasómetro,entrada fuerte desde atrás,1',No,Amarilla
Lanús,Racing,2025-03-30,Monumental,entrada fuerte desde atrás,87',Yes,No penal
San Lorenzo,Racing,2024-09-14,Monumental,contacto leve en el área,14',No,No penal
Huracán,Independiente,2023-12-11,La Bombonera,contacto leve en el área,87',No,Gol válido
Independiente,Boca,2023-09-21,Cilindro,posición adelantada en el gol,27',No,Offside
River,Vélez,2023-09-20,Cilindro,simulación de falta,66',No,No penal
Vélez,San Lorenzo,2023-10-25,Libertadores de América,remate desviado tras rebote,18',No,Gol válido
San Lorenzo,Huracán,2023-07-10,Cilindro,remate desviado tras rebote,32',No,Roja
Vélez,River,2023-09-18,Cilindro,contacto leve en el área,49',Yes,Offside
San Lorenzo,Lanús,2023-12-29,La Bombonera,remate desviado tras rebote,79',Yes,Penal
Racing,San Lorenzo,2025-06-03,La Bombonera,mano en el área tras un centro,38',Yes,Amarilla
Lanús,Boca,2025-03-25,Cilindro,entrada fuerte desde atrás,51',Yes,Roja
Huracán,River,2024-06-16,Libertadores de América,contacto leve en el área,38',No,No penal
River,Vélez,2024-04-12,Libertadores de América,gol con la mano,57',Yes,Gol anulado
San Lorenzo,Vélez,2025-02-04,Libertadores de América,empujón dentro del área,27',No,Gol válido
San Lorenzo,Vélez,2025-03-18,Nuevo Gasómetro,gol con la mano,11',No,Gol válido
Vélez,River,2025-03-11,Libertadores de América,gol legítimo,69',No,Gol anulado
Independiente,San Lorenzo,2025-04-23,Libertadores de América,contacto leve en el área,11',No,Roja
Huracán,Lanús,2024-01-15,Monumental,remate desviado tras rebote,56',Yes,Roja
Racing,Lanús,2024-06-21,Monumental,empujón dentro del área,31',Yes,Gol válido
Racing,Vélez,2025-05-20,Monumental,gol legítimo,35',Yes,Gol válido
Vélez,Independiente,2023-07-01,Nuevo Gasómetro,codazo en salto,42',Yes,Gol anulado
River,Independiente,2024-05-01,Monumental,entrada fuerte desde atrás,51',No,Amarilla
Boca,River,2025-03-29,Nuevo Gasómetro,posición adelantada en el gol,25',No,Amarilla
Lanús,Vélez,2023-09-25,Nuevo Gasómetro,empujón dentro del área,13',No,Gol válido
River,Racing,2025-02-07,Monumental,entrada fuerte desde atrás,7',No,Amarilla
Independiente,San Lorenzo,2024-11-16,Libertadores de América,entrada fuerte desde atrás,8',Yes,Amarilla
Lanús,River,2024-05-26,Cilindro,entrada fuerte desde atrás,26',Yes,Roja
Racing,Huracán,2024-01-14,Cilindro,codazo en salto,57',Yes,Amarilla
River,San Lorenzo,2023-10-22,La Bombonera,gol legítimo,30',No,Roja
Boca,Independiente,2023-06-12,Monumental,codazo en salto,67',No,Offside
Huracán,Vélez,2025-01-19,La Bombonera,empujón dentro del área,66',Yes,Amarilla
San Lorenzo,Racing,2023-12-31,La Bombonera,posición adelantada en el gol,26',Yes,Offside
Independiente,Racing,2024-07-20,Nuevo Gasómetro,mano en el área tras un centro,52',No,Offside
Independiente,Boca,2025-05-09,Monumental,gol legítimo,84',No,Offside
San Lorenzo,River,2024-02-20,Cilindro,codazo en salto,13',Yes,Gol válido
Independiente,Huracán,2024-11-12,Libertadores de América,mano en el área tras un centro,2',No,Gol anulado
Lanús,Vélez,2024-12-04,Nuevo Gasómetro,empujón dentro del área,38',No,Offside
San Lorenzo,Independiente,2024-07-03,Nuevo Gasómetro,mano en el área tras un centro,65',Yes,Offside
Racing,Huracán,2025-05-06,Nuevo Gasómetro,remate desviado tras rebote,86',No,Amarilla
Huracán,River,2023-10-05,Libertadores de América,contacto leve en el área,56',No,Roja
River,Huracán,2025-04-15,Cilindro,gol con la mano,73',No,No penal
River,San Lorenzo,2025-03-12,Cilindro,remate desviado tras rebote,5',Yes,Penal
River,Vélez,2024-05-23,Monumental,gol con la mano,1',Yes,Amarilla
Huracán,Independiente,2024-11-03,La Bombonera,contacto leve en el área,16',Yes,Gol válido
San Lorenzo,Vélez,2025-01-06,Libertadores de América,posición adelantada en el gol,73',No,No penal
Huracán,Lanús,2024-01-29,Monumental,gol con la mano,33',No,No penal
Independiente,Vélez,2024-11-24,Nuevo Gasómetro,codazo en salto,72',Yes,Gol válido
River,San Lorenzo,2024-03-07,Libertadores de América,remate desviado tras rebote,39',Yes,Penal
Boca,Lanús,2024-10-14,La Bombonera,gol con la mano,20',No,Gol válido
Independiente,San Lorenzo,2025-03-18,Libertadores de América,contacto leve en el área,19',Yes,Roja
Huracán,Racing,2024-12-31,Monumental,mano en el área tras un centro,30',Yes,No penal
Racing,River,2023-06-21,Libertadores de América,posición adelantada en el gol,37',No,Penal
Boca,Huracán,2024-05-24,Monumental,contacto leve en el área,44',No,Gol válido
Vélez,Boca,2024-06-02,Monumental,gol con la mano,83',Yes,Amarilla
Vélez,River,2023-10-16,Nuevo Gasómetro,gol legítimo,50',Yes,Gol anulado
Vélez,Huracán,2024-03-03,La Bombonera,contacto leve en el área,4',No,Offside
River,Independiente,2023-11-22,Cilindro,codazo en salto,32',No,Offside
Racing,San Lorenzo,2024-01-01,La Bombonera,gol legítimo,32',No,Offside
San Lorenzo,Boca,2023-11-19,Nuevo Gasómetro,posición adelantada en el gol,79',Yes,Amarilla
Vélez,Independiente,2023-10-28,Nuevo Gasómetro,simulación de falta,8',Yes,Penal
San Lorenzo,Huracán,2024-03-18,Nuevo Gasómetro,entrada fuerte desde atrás,76',No,Gol anulado
River,Boca,2024-11-27,Nuevo Gasómetro,empujón dentro del área,72',No,No penal
River,San Lorenzo,2023-10-15,Libertadores de América,empujón dentro del área,7',No,Penal
Boca,Racing,2024-06-07,Cilindro,simulación de falta,25',Yes,Offside
Boca,Independiente,2024-02-22,Cilindro,codazo en salto,58',Yes,Gol válido
River,San Lorenzo,2023-07-19,Cilindro,mano en el área tras un centro,41',Yes,No penal
Lanús,Vélez,2024-02-27,Cilindro,simulación de falta,9',Yes,Amarilla
Boca,Lanús,2023-12-08,Nuevo Gasómetro,contacto leve en el área,85',No,Penal
Racing,Vélez,2024-03-07,Libertadores de América,simulación de falta,73',No,No penal
Vélez,Lanús,2023-11-25,Nuevo Gasómetro,remate desviado tras rebote,68',Yes,Gol anulado
Huracán,River,2023-07-27,Nuevo Gasómetro,simulación de falta,65',No,Gol anulado
Racing,Boca,2023-10-18,Libertadores de América,contacto leve en el área,49',No,Offside
Independiente,Vélez,2023-09-19,Nuevo Gasómetro,entrada fuerte desde atrás,44',No,Penal
Independiente,San Lorenzo,2023-12-22,Nuevo Gasómetro,gol legítimo,39',Yes,Gol anulado
Boca,Racing,2024-10-21,Libertadores de América,simulación de falta,62',No,Amarilla
Huracán,San Lorenzo,2024-07-07,Libertadores de América,posición adelantada en el gol,42',No,Gol anulado
Boca,Huracán,2023-12-22,La Bombonera,mano en el área tras un centro,79',Yes,Gol válido
Lanús,Independiente,2025-03-28,Nuevo Gasómetro,codazo en salto,30',Yes,Gol anulado
Boca,Racing,2024-04-02,Cilindro,gol legítimo,75',Yes,Penal
Huracán,Lanús,2025-01-03,Libertadores de América,posición adelantada en el gol,18',Yes,Offside
San Lorenzo,Boca,2024-06-28,Nuevo Gasómetro,gol con la mano,23',No,Gol válido
Racing,Boca,2023-09-20,Libertadores de América,codazo en salto,71',Yes,Penal
Lanús,San Lorenzo,2024-10-05,Monumental,empujón dentro del área,19',No,No penal
San Lorenzo,River,2024-04-24,Libertadores de América,entrada fuerte desde atrás,56',Yes,Offside
River,Racing,2024-09-21,Libertadores de América,posición adelantada en el gol,33',Yes,No penal
Racing,Boca,2025-05-18,Monumental,codazo en salto,56',Yes,Amarilla
Racing,River,2023-09-20,Monumental,remate desviado tras rebote,25',No,Penal
Independiente,Lanús,2023-07-09,Nuevo Gasómetro,remate desviado tras rebote,89',Yes,No penal
Lanús,Independiente,2025-01-11,Libertadores de América,gol legítimo,82',Yes,Amarilla
San Lorenzo,Boca,2024-11-23,Libertadores de América,contacto leve en el área,18',No,Gol válido
San Lorenzo,Huracán,2023-11-11,Monumental,gol legítimo,86',No,Amarilla
San Lorenzo,River,2024-08-11,Nuevo Gasómetro,gol con la mano,27',Yes,No penal
Independiente,Vélez,2023-09-02,La Bombonera,simulación de falta,81',Yes,Gol anulado
Boca,Racing,2024-06-22,Monumental,simulación de falta,69',No,Gol válido
Independiente,Racing,2023-08-21,La Bombonera,posición adelantada en el gol,17',No,Gol anulado
Boca,River,2024-08-23,Libertadores de América,remate desviado tras rebote,43',No,Amarilla
River,San Lorenzo,2024-12-01,La Bombonera,simulación de falta,59',No,Gol válido
Vélez,Independiente,2024-11-19,Libertadores de América,entrada fuerte desde atrás,39',Yes,Roja
San Lorenzo,Independiente,2023-07-18,Libertadores de América,entrada fuerte desde atrás,20',No,Offside
River,Boca,2023-12-02,Monumental,simulación de falta,11',Yes,Roja
Independiente,Huracán,2025-02-01,Monumental,codazo en salto,31',Yes,Gol válido
San Lorenzo,Boca,2024-11-19,Cilindro,simulación de falta,61',No,Roja
River,San Lorenzo,2024-07-21,Nuevo Gasómetro,mano en el área tras un centro,9',Yes,Gol anulado
River,Racing,2025-06-06,Cilindro,mano en el área tras un centro,34',Yes,Roja
Lanús,Vélez,2024-03-06,Nuevo Gasómetro,mano en el área tras un centro,85',No,Penal
Racing,Boca,2024-04-20,Nuevo Gasómetro,mano en el área tras un centro,9',Yes,Gol anulado
Independiente,Vélez,2023-08-31,La Bombonera,posición adelantada en el gol,89',Yes,Gol válido
Independiente,San Lorenzo,2023-06-29,Libertadores de América,remate desviado tras rebote,1',Yes,Offside
Racing,Independiente,2023-10-24,Cilindro,posición adelantada en el gol,31',Yes,Penal
Huracán,Independiente,2024-12-23,Monumental,simulación de falta,84',No,Offside
Boca,Lanús,2023-06-29,Libertadores de América,posición adelantada en el gol,85',Yes,Penal
San Lorenzo,Lanús,2024-11-18,Monumental,mano en el área tras un centro,16',Yes,Amarilla
Racing,San Lorenzo,2025-05-03,Cilindro,gol con la mano,30',Yes,Penal
Independiente,San Lorenzo,2025-04-20,Nuevo Gasómetro,entrada fuerte desde atrás,41',No,Penal
River,Independiente,2024-02-25,Nuevo Gasómetro,mano en el área tras un centro,85',Yes,Gol anulado
River,Huracán,2023-08-23,Cilindro,posición adelantada en el gol,39',No,Offside
Independiente,San Lorenzo,2023-07-02,Cilindro,posición adelantada en el gol,52',No,No penal
San Lorenzo,River,2024-03-04,Monumental,entrada fuerte desde atrás,10',No,Gol anulado
Vélez,Boca,2024-07-07,Libertadores de América,codazo en salto,74',Yes,Offside
Independiente,San Lorenzo,2025-03-29,Monumental,gol legítimo,86',No,No penal
Vélez,San Lorenzo,2023-07-11,La Bombonera,gol con la mano,28',No,Penal
Vélez,San Lorenzo,2024-03-17,La Bombonera,gol con la mano,6',Yes,Offside
Independiente,Vélez,2025-03-10,La Bombonera,posición adelantada en el gol,82',No,Roja
Boca,Vélez,2024-10-02,La Bombonera,remate desviado tras rebote,74',Yes,Gol anulado
Independiente,River,2023-11-21,Monumental,remate desviado tras rebote,32',Yes,Penal
Vélez,Lanús,2025-05-03,Monumental,gol legítimo,30',No,Roja
Independiente,Vélez,2024-12-13,Libertadores de América,posición adelantada en el gol,74',No,No penal
Racing,Lanús,2024-05-09,Libertadores de América,gol con la mano,79',Yes,Penal
Huracán,Lanús,2023-12-03,Nuevo Gasómetro,gol legítimo,61',No,Roja
San Lorenzo,Lanús,2025-03-13,Cilindro,entrada fuerte desde atrás,42',No,Penal
River,Huracán,2024-11-06,La Bombonera,empujón dentro del área,90',Yes,Roja
Lanús,River,2024-08-19,La Bombonera,contacto leve en el área,29',No,Penal
Independiente,San Lorenzo,2024-12-02,Monumental,empujón dentro del área,12',No,Gol válido
Independiente,Lanús,2023-07-12,Nuevo Gasómetro,contacto leve en el área,76',Yes,Amarilla
Racing,Lanús,2024-10-28,Nuevo Gasómetro,contacto leve en el área,59',Yes,No penal
River,Huracán,2023-07-26,Monumental,mano en el área tras un centro,2',No,Amarilla
Lanús,San Lorenzo,2023-08-04,Nuevo Gasómetro,codazo en salto,90',No,Amarilla
Independiente,Vélez,2024-09-12,Nuevo Gasómetro,codazo en salto,67',Yes,Penal
River,San Lorenzo,2024-01-05,Monumental,contacto leve en el área,38',No,Offside
River,San Lorenzo,2024-06-15,Nuevo Gasómetro,gol con la mano,31',Yes,Gol válido
Racing,Vélez,2024-01-16,Nuevo Gasómetro,remate desviado tras rebote,34',No,Penal
Lanús,River,2024-05-26,Cilindro,posición adelantada en el gol,68',No,Offside
River,Vélez,2023-09-13,Libertadores de América,entrada fuerte desde atrás,13',No,Gol anulado
San Lorenzo,River,2023-11-17,Cilindro,gol con la mano,86',Yes,Gol válido
Lanús,Boca,2025-03-22,Libertadores de América,mano en el área tras un centro,49',No,No penal
Independiente,Boca,2025-01-19,Libertadores de América,empujón dentro del área,39',Yes,No penal
Independiente,Vélez,2024-05-16,Monumental,contacto leve en el área,67',Yes,No penal
Vélez,Lanús,2023-12-20,Cilindro,mano en el área tras un centro,78',No,Gol válido
Racing,Independiente,2024-01-12,Libertadores de América,simulación de falta,42',No,Offside
Lanús,Independiente,2024-03-17,Monumental,contacto leve en el área,50',Yes,No penal
Lanús,River,2023-10-07,Monumental,codazo en salto,46',No,Penal
Huracán,San Lorenzo,2024-04-16,Nuevo Gasómetro,mano en el área tras un centro,32',No,No penal
Racing,Huracán,2023-11-24,Cilindro,codazo en salto,61',No,Offside
River,Racing,2023-10-31,La Bombonera,codazo en salto,10',No,Gol anulado
San Lorenzo,Lanús,2023-08-20,Cilindro,mano en el área tras un centro,69',No,No penal
Independiente,San Lorenzo,2023-10-13,La Bombonera,remate desviado tras rebote,73',No,Gol anulado
Lanús,San Lorenzo,2024-01-27,Libertadores de América,entrada fuerte desde atrás,66',Yes,Penal
Huracán,Boca,2024-01-18,Monumental,gol legítimo,55',No,Penal
San Lorenzo,River,2023-12-27,Monumental,codazo en salto,74',Yes,Roja
Boca,Lanús,2024-10-09,Monumental,mano en el área tras un centro,44',Yes,Roja
Vélez,Boca,2023-09-10,Nuevo Gasómetro,entrada fuerte desde atrás,74',Yes,Offside
Lanús,Boca,2024-10-06,Cilindro,empujón dentro del área,74',Yes,Offside
Boca,Vélez,2023-08-27,La Bombonera,posición adelantada en el gol,34',Yes,Offside
Huracán,Boca,2024-03-20,Libertadores de América,codazo en salto,53',Yes,Penal
Lanús,San Lorenzo,2025-05-28,La Bombonera,posición adelantada en el gol,31',Yes,Roja
Boca,Lanús,2025-02-24,Libertadores de América,posición adelantada en el gol,4',No,Gol anulado
San Lorenzo,Vélez,2025-02-18,La Bombonera,contacto leve en el área,81',No,Roja
Independiente,Vélez,2023-06-11,Cilindro,codazo en salto,69',No,Offside
Independiente,Vélez,2025-05-05,Monumental,contacto leve en el área,32',Yes,Gol válido
Racing,Boca,2024-09-15,Libertadores de América,mano en el área tras un centro,22',Yes,Penal
Boca,Vélez,2023-11-18,Cilindro,mano en el área tras un centro,78',Yes,Gol válido
Independiente,Vélez,2025-03-03,Cilindro,simulación de falta,32',No,No penal
River,San Lorenzo,2023-08-01,Cilindro,contacto leve en el área,65',Yes,Offside
Boca,Racing,2024-04-12,Nuevo Gasómetro,remate desviado tras rebote,90',No,Gol anulado
Racing,Boca,2023-09-16,Cilindro,simulación de falta,80',No,Offside
Lanús,Racing,2024-05-07,Cilindro,codazo en salto,78',No,Gol anulado
Vélez,Racing,2024-03-23,La Bombonera,simulación de falta,9',Yes,Gol válido
Boca,Racing,2025-03-30,Cilindro,simulación de falta,41',No,Penal
Independiente,Lanús,2025-05-02,Cilindro,contacto leve en el área,42',Yes,Amarilla
San Lorenzo,Racing,2024-03-04,Monumental,posición adelantada en el gol,39',Yes,Roja
Racing,San Lorenzo,2025-05-03,Nuevo Gasómetro,simulación de falta,68',Yes,Penal
Huracán,River,2025-02-03,Monumental,mano en el área tras un centro,73',No,Gol válido
Lanús,Independiente,2023-07-26,Monumental,gol legítimo,3',No,Offside
Independiente,San Lorenzo,2024-11-28,Monumental,posición adelantada en el gol,46',No,Amarilla
Vélez,Lanús,2024-09-30,Libertadores de América,codazo en salto,17',No,Amarilla
Vélez,Independiente,2025-04-17,Monumental,posición adelantada en el gol,69',Yes,Offside
Lanús,River,2025-01-05,Cilindro,remate desviado tras rebote,44',Yes,Gol anulado
San Lorenzo,Independiente,2023-11-18,Monumental,entrada fuerte desde atrás,74',No,Roja
Racing,Boca,2024-11-10,Monumental,mano en el área tras un centro,46',No,Gol válido
Huracán,Independiente,2024-09-10,Monumental,simulación de falta,73',Yes,Gol anulado
Independiente,Lanús,2025-01-01,Nuevo Gasómetro,gol con la mano,43',Yes,Penal
Racing,Huracán,2024-09-28,Monumental,remate desviado tras rebote,25',Yes,Amarilla
Vélez,San Lorenzo,2023-08-01,Nuevo Gasómetro,gol con la mano,15',Yes,Gol anulado
Vélez,San Lorenzo,2025-03-17,Cilindro,gol legítimo,42',No,Gol anulado
San Lorenzo,Lanús,2024-10-15,Monumental,gol con la mano,72',Yes,No penal
Vélez,Racing,2023-12-19,Libertadores de América,posición adelantada en el gol,30',No,Amarilla
Huracán,Lanús,2025-01-31,La Bombonera,remate desviado tras rebote,43',No,Offside
Vélez,River,2023-09-19,Monumental,entrada fuerte desde atrás,75',No,Penal
Lanús,Boca,2024-12-12,Nuevo Gasómetro,entrada fuerte desde atrás,19',Yes,Gol anulado
Racing,Independiente,2024-12-29,Libertadores de América,simulación de falta,4',No,Roja
Lanús,Racing,2024-10-01,La Bombonera,codazo en salto,64',No,Offside
Vélez,Independiente,2025-04-26,Cilindro,contacto leve en el área,71',Yes,Penal
Racing,Vélez,2024-07-11,Libertadores de América,gol con la mano,10',Yes,Gol válido
Lanús,Huracán,2024-06-27,Nuevo Gasómetro,empujón dentro del área,64',No,Penal
Huracán,Lanús,2024-07-04,Nuevo Gasómetro,simulación de falta,16',Yes,Gol válido
Boca,San Lorenzo,2024-04-23,Monumental,simulación de falta,83',Yes,Offside
Huracán,Vélez,2023-06-22,Libertadores de América,mano en el área tras un centro,81',No,Gol válido
River,Lanús,2024-01-21,La Bombonera,remate desviado tras rebote,60',Yes,No penal
Vélez,Racing,2024-09-23,Monumental,contacto leve en el área,38',Yes,No penal
Independiente,Huracán,2023-09-04,Nuevo Gasómetro,remate desviado tras rebote,38',No,Amarilla
San Lorenzo,Racing,2024-09-06,La Bombonera,gol con la mano,64',Yes,Gol anulado
Lanús,Vélez,2023-09-10,La Bombonera,simulación de falta,81',No,No penal
San Lorenzo,Lanús,2023-07-27,Libertadores de América,codazo en salto,41',No,No penal
San Lorenzo,Huracán,2024-02-06,Nuevo Gasómetro,mano en el área tras un centro,34',No,Amarilla
Boca,River,2024-05-16,Libertadores de América,gol legítimo,51',Yes,Roja
Racing,Boca,2023-10-19,Monumental,mano en el área tras un centro,23',No,No penal
Huracán,River,2025-05-08,Nuevo Gasómetro,contacto leve en el área,41',No,Roja
San Lorenzo,Independiente,2025-02-03,Nuevo Gasómetro,entrada fuerte desde atrás,48',Yes,Roja
Boca,Independiente,2024-08-24,Cilindro,entrada fuerte desde atrás,59',Yes,No penal
Lanús,San Lorenzo,2024-08-16,Libertadores de América,mano en el área tras un centro,21',Yes,Offside
San Lorenzo,Independiente,2024-06-14,Nuevo Gasómetro,posición adelantada en el gol,90',Yes,No penal
Lanús,Boca,2025-03-27,Libertadores de América,empujón dentro del área,44',Yes,Offside
Lanús,Independiente,2024-03-12,Cilindro,gol legítimo,35',No,Gol anulado
River,Independiente,2024-06-04,Monumental,empujón dentro del área,45',Yes,Penal
Huracán,Racing,2023-09-21,Cilindro,posición adelantada en el gol,82',Yes,Gol anulado
Huracán,Vélez,2024-07-26,Cilindro,empujón dentro del área,27',No,Amarilla
Independiente,Racing,2024-10-14,Nuevo Gasómetro,gol legítimo,58',Yes,No penal
Lanús,Racing,2024-07-06,Libertadores de América,entrada fuerte desde atrás,15',Yes,Roja
Lanús,Racing,2025-02-08,Nuevo Gasómetro,simulación de falta,85',No,Roja
Boca,Huracán,2024-01-21,Libertadores de América,gol legítimo,6',Yes,Amarilla
Boca,Lanús,2023-08-10,Monumental,simulación de falta,84',Yes,No penal
Racing,Vélez,2023-11-06,Libertadores de América,mano en el área tras un centro,37',No,No penal
Independiente,Vélez,2024-12-30,Libertadores de América,empujón dentro del área,88',Yes,Gol válido
Independiente,River,2023-08-23,Libertadores de América,remate desviado tras rebote,8',No,Gol válido
River,Independiente,2023-06-25,Nuevo Gasómetro,mano en el área tras un centro,8',No,No penal
Boca,San Lorenzo,2023-12-05,La Bombonera,entrada fuerte desde atrás,55',No,Penal
San Lorenzo,Boca,2024-05-31,La Bombonera,remate desviado tras rebote,24',Yes,Gol válido
San Lorenzo,Racing,2023-11-03,Nuevo Gasómetro,contacto leve en el área,72',No,Gol anulado
Huracán,San Lorenzo,2024-03-18,Monumental,posición adelantada en el gol,2',No,No penal
Huracán,Racing,2024-07-05,Nuevo Gasómetro,posición adelantada en el gol,11',Yes,No penal
San Lorenzo,Lanús,2025-02-18,Nuevo Gasómetro,codazo en salto,28',No,Gol válido
Vélez,Racing,2025-02-13,La Bombonera,contacto leve en el área,39',Yes,No penal
River,Independiente,2023-06-18,Monumental,contacto leve en el área,66',Yes,Offside
San Lorenzo,River,2024-11-27,Cilindro,gol con la mano,3',Yes,No penal
Racing,Boca,2024-02-02,Monumental,entrada fuerte desde atrás,4',Yes,Penal
San Lorenzo,Lanús,2023-07-11,La Bombonera,empujón dentro del área,51',Yes,Penal
San Lorenzo,Vélez,2024-04-06,Monumental,contacto leve en el área,8',Yes,Roja
Racing,Boca,2023-12-23,Monumental,gol legítimo,6',No,Offside
Vélez,Boca,2024-10-28,Monumental,simulación de falta,32',Yes,Gol válido
Vélez,Lanús,2025-02-02,Nuevo Gasómetro,contacto leve en el área,45',No,Gol válido
Boca,San Lorenzo,2024-10-03,Libertadores de América,posición adelantada en el gol,85',No,No penal
River,Racing,2023-07-15,Cilindro,mano en el área tras un centro,66',Yes,Gol válido
River,Boca,2024-07-21,Nuevo Gasómetro,empujón dentro del área,65',No,Gol anulado
Huracán,Vélez,2025-04-26,Nuevo Gasómetro,gol con la mano,37',Yes,No penal
Lanús,Huracán,2024-10-08,Libertadores de América,empujón dentro del área,45',Yes,Roja
Lanús,Boca,2024-06-07,Nuevo Gasómetro,codazo en salto,60',No,Offside
Racing,Huracán,2025-01-23,Nuevo Gasómetro,remate desviado tras rebote,57',No,No penal
Independiente,Huracán,2024-08-26,Monumental,empujón dentro del área,66',No,No penal
Boca,Racing,2025-01-19,Cilindro,contacto leve en el área,74',No,Penal
Independiente,Lanús,2024-11-13,Cilindro,empujón dentro del área,52',No,Penal
Vélez,Racing,2024-07-18,Monumental,gol legítimo,20',No,Gol válido
Racing,Lanús,2025-04-08,La Bombonera,remate desviado tras rebote,55',No,Gol anulado
